Country,State,Year,As On Date,"Number Of Public Blood Bank  (UOM:Number), Scaling Factor:1","Number Of Private Blood Bank (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Redcross (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Trust (UOM:Number), Scaling Factor:1","Number Of Licensed Blood Banks Under Private (UOM:Number), Scaling Factor:1"
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,54,90,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Jun-17,74,254,,,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Jun-17,4,1,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Jun-17,5,2,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Jun-17,8,2,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Jun-17,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Jun-17,63,20,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Jun-17,5,12,,,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Jun-17,49,57,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jun-17,52,63,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Jun-17,2,1,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Jun-17,98,193,,,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Jun-17,27,134,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Jun-17,1.00000000000000000000,2.00000000000000000000,,,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Jun-17,10,2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Jun-17,104,190,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Jun-17,21,12,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Jun-17,82,46,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2016",Oct-16,2,,,,1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,33,,,,114
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,9,,,,1
India,Assam,"Calendar Year (Jan - Dec), 2016",Oct-16,38,,,,30
India,Bihar,"Calendar Year (Jan - Dec), 2016",Oct-16,32,,,,39
India,Chandigarh,"Calendar Year (Jan - Dec), 2016",Oct-16,3,,,,1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2016",Oct-16,34,,,,23
India,Delhi,"Calendar Year (Jan - Dec), 2016",Oct-16,23,,,,46
India,Goa,"Calendar Year (Jan - Dec), 2016",Oct-16,3,,,,3
India,Gujarat,"Calendar Year (Jan - Dec), 2016",Oct-16,27,,,,114
India,Haryana,"Calendar Year (Jan - Dec), 2016",Oct-16,26,,,,63
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,19,,,,3
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2016",Oct-16,28.36567894142197219890,,,,3.91250744019613409640
India,Jharkhand,"Calendar Year (Jan - Dec), 2016",Oct-16,27,,,,23
India,Karnataka,"Calendar Year (Jan - Dec), 2016",Oct-16,40,,,,160
India,Kerala,"Calendar Year (Jan - Dec), 2016",Oct-16,41,,,,129
India,Ladakh,"Calendar Year (Jan - Dec), 2016",Oct-16,0.63432105857802780110,,,,0.08749255980386590360
India,Lakshadweep,"Calendar Year (Jan - Dec), 2016",Oct-16,1,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,58,,,,84
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",Oct-16,74,,,,252
India,Manipur,"Calendar Year (Jan - Dec), 2016",Oct-16,4,,,,1
India,Meghalaya,"Calendar Year (Jan - Dec), 2016",Oct-16,5,,,,2
India,Mizoram,"Calendar Year (Jan - Dec), 2016",Oct-16,8,,,,2
India,Nagaland,"Calendar Year (Jan - Dec), 2016",Oct-16,5,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2016",Oct-16,63,,,,20
India,Puducherry,"Calendar Year (Jan - Dec), 2016",Oct-16,3,,,,10
India,Punjab,"Calendar Year (Jan - Dec), 2016",Oct-16,48,,,,55
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",Oct-16,51,,,,58
India,Sikkim,"Calendar Year (Jan - Dec), 2016",Oct-16,2,,,,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",Oct-16,97,,,,195
India,Telangana,"Calendar Year (Jan - Dec), 2016",Oct-16,26,,,,130
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2016",Oct-16,1.00000000000000000000,,,,2.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2016",Oct-16,10,,,,2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",Oct-16,103,,,,186
India,Uttarakhand,"Calendar Year (Jan - Dec), 2016",Oct-16,17,,,,13
India,West Bengal,"Calendar Year (Jan - Dec), 2016",Oct-16,81,,,,44
